element,selector,route,lifecycle_state,viewport,role,text_size,font_size_px,fg_rgb,bg_rgb,contrast_ratio,wcag_aa_required,wcag_aa_pass,target_w_px,target_h_px,target_size_pass
identity-name,.bh-identity-name,/,Black Hole (opening),1440x900,text,large,20,"rgb(223,229,236)","rgb(36,38,42)",11.95,3.0,PASS,N/A,N/A,N/A
identity-role,.bh-identity-role,/,Black Hole (opening),1440x900,text,small,11,"rgb(141,133,121)","rgb(54,53,50)",3.37,4.5,FAIL,N/A,N/A,N/A
manifesto-headline,.bh-beat-line,/,Black Hole (opening),1440x900,heading,large,64,"rgb(223,229,236)","rgb(8,9,11)",15.70,3.0,PASS,N/A,N/A,N/A
manifesto-whisper,.bh-beat-whisper,/,Black Hole (opening),1440x900,text,body,14,"rgb(223,229,236)","rgb(4,5,7)",16.08,4.5,PASS,N/A,N/A,N/A
scene-nav-label,.overlay-blog-label,/,Black Hole (opening),1440x900,text,small,13,"rgb(150,145,138)","rgb(20,21,24)",5.84,4.5,PASS,N/A,N/A,N/A
scene-nav-link,.overlay-blog-link,/,Black Hole (opening),1440x900,interactive,small,17,"rgb(150,145,138)","rgb(20,21,24)",5.84,3.0,PASS,83,19,FAIL
hud-power-btn,.overlay-blog-power,/,Black Hole (opening),1440x900,button,n/a,13,"rgb(189,181,170)","rgb(8,8,9)",9.87,3.0,PASS,34,34,FAIL
compass-label,.hud-compass-label,/,Black Hole (opening),1440x900,text,small,17,"rgb(216,208,195)","rgb(11,13,18)",12.71,4.5,PASS,N/A,N/A,N/A
identity-name,.bh-identity-name,/,Black Hole,1440x900,text,large,20,"rgb(223,229,236)","rgb(36,38,42)",11.95,3.0,PASS,N/A,N/A,N/A
identity-role,.bh-identity-role,/,Black Hole,1440x900,text,small,11,"rgb(141,133,121)","rgb(54,53,50)",3.37,4.5,FAIL,N/A,N/A,N/A
